Reading data until stopped:
Time;airTMP;soilTMP;airHUM;soilHUM;light
137;18.2;19.3;29.1;99.3;3.5;
138;18.2;19.7;29.1;99.3;4.1;
139;18.2;19.6;29.1;99.3;3.5;
140;18.2;19.6;29.1;99.3;4.1;
141;18.2;19.7;29.1;99.3;3.5;
142;18.2;19.4;29.1;99.3;4.1;
143;18.2;19.3;29.1;99.3;3.5;
144;18.3;19.8;29.1;99.3;4.1;
145;18.2;19.9;29.1;99.3;3.5;
146;18.2;19.4;29.1;99.3;4.1;
147;18.2;19.7;29.1;99.3;3.7;
148;18.2;19.7;29.1;99.3;4.1;
149;18.2;19.6;29.1;99.2;3.5;
150;18.2;19.2;29.1;99.2;4.1;
151;18.2;19.8;29.0;99.3;3.4;
152;18.2;19.8;29.0;99.3;4.1;
153;18.2;19.2;29.0;99.3;3.7;
154;18.2;19.7;29.0;99.3;4.1;
155;18.2;19.3;29.0;99.3;3.5;
156;18.2;19.5;29.0;99.3;4.1;
157;18.2;19.7;29.0;99.3;3.5;
158;18.2;19.8;29.0;99.3;3.9;
159;18.2;19.7;29.0;99.3;3.4;
160;18.2;19.5;29.0;99.3;4.1;
161;18.2;19.5;29.0;99.3;3.4;
162;18.2;19.7;29.0;99.2;4.1;
163;18.2;19.4;29.0;99.3;3.7;
164;18.2;19.6;29.0;99.2;4.1;
165;18.2;19.7;29.0;99.2;3.5;
166;18.2;19.8;29.0;99.2;4.1;
167;18.2;19.7;29.0;99.2;3.5;
168;18.2;19.1;29.0;99.2;4.1;
169;18.2;19.2;28.9;99.2;3.5;
170;18.2;19.8;28.9;99.2;4.1;
171;18.2;19.6;28.9;99.2;3.5;
172;18.2;19.6;28.9;99.2;4.1;
173;18.2;19.7;28.9;99.2;3.5;
174;18.2;19.2;28.9;99.2;3.9;
175;18.2;19.7;28.9;99.2;3.7;
176;18.2;19.7;28.9;99.2;3.9;
177;18.2;19.7;28.9;99.2;3.5;
178;18.2;19.4;28.9;99.2;4.1;
179;18.2;19.5;28.9;99.2;3.7;
180;18.2;19.6;28.9;99.2;3.9;
181;18.2;19.6;28.9;99.2;3.5;
182;18.2;19.7;28.9;99.2;4.1;
183;18.2;19.5;28.9;99.2;3.5;
184;18.2;19.3;28.9;99.2;4.2;
185;18.2;19.7;28.9;99.2;3.4;
186;18.2;19.9;28.9;99.2;4.1;
187;18.2;19.4;28.9;99.2;3.7;
188;18.2;19.6;28.9;99.3;4.1;
189;18.2;19.8;28.9;99.2;3.5;
190;18.2;19.6;28.9;99.2;3.9;
191;18.2;19.6;28.9;99.2;3.5;
192;18.2;20.0;28.9;99.2;4.1;
193;18.2;19.5;28.9;99.2;3.7;
194;18.2;19.9;28.9;99.3;4.1;
195;18.2;19.5;28.9;99.2;3.7;
196;18.2;19.8;28.9;99.2;4.1;
197;18.2;19.8;28.9;99.2;3.5;
198;18.2;19.7;28.9;99.2;4.1;
199;18.2;19.8;28.9;99.2;3.5;
200;18.2;20.0;28.9;99.2;4.2;
201;18.2;19.7;28.9;99.2;3.5;
202;18.2;19.5;28.9;99.2;4.2;
203;18.2;19.8;28.9;99.2;3.5;
204;18.2;19.5;28.9;99.2;4.1;
205;18.2;19.8;28.9;99.2;3.5;
206;18.2;19.5;28.9;99.2;4.1;
207;18.2;19.5;28.9;99.2;3.5;
208;18.2;19.7;28.9;99.2;4.1;
209;18.2;19.4;28.9;99.2;3.5;
210;18.2;19.6;28.9;99.2;3.9;
211;18.2;19.7;28.9;99.2;3.5;
212;18.2;19.5;28.9;99.2;4.1;
213;18.2;19.8;28.9;99.2;3.5;
214;18.2;19.7;28.9;99.2;4.1;
215;18.2;19.7;28.9;99.2;3.5;
216;18.2;19.9;28.9;99.2;4.2;
217;18.2;19.6;28.9;99.2;3.5;
218;18.2;19.7;28.9;99.2;4.1;
219;18.2;20.3;28.9;99.2;3.5;
220;18.2;19.7;28.9;99.2;4.1;
221;18.2;19.8;28.9;99.2;3.5;
222;18.2;19.9;28.9;99.2;4.2;
223;18.2;19.5;28.9;99.2;3.4;
224;18.2;19.6;28.9;99.2;4.1;
225;18.2;20.2;28.9;99.3;3.7;
226;18.2;19.5;28.9;99.2;4.1;
227;18.2;19.7;28.9;99.3;3.5;
228;18.2;19.8;28.9;99.3;4.1;
229;18.2;19.9;28.9;99.3;3.7;
230;18.3;19.7;28.9;99.3;4.1;
231;18.2;19.7;28.9;99.2;3.7;
232;18.2;19.9;28.9;99.2;4.1;
233;18.2;19.7;28.9;99.3;3.7;
234;18.2;19.6;28.8;99.3;3.9;
235;18.3;19.4;28.8;99.3;3.5;
236;18.2;19.7;28.8;99.3;4.1;
237;18.2;19.7;28.8;99.3;3.4;
238;18.2;19.7;28.8;99.3;4.1;
239;18.2;19.5;28.8;99.3;3.7;
240;18.2;19.6;28.8;99.3;4.1;
241;18.2;20.0;28.8;99.3;3.5;
242;18.2;19.9;28.8;99.3;4.1;
243;18.2;19.5;28.8;99.3;3.5;
244;18.2;19.6;28.8;99.3;4.2;
245;18.3;19.8;28.8;99.2;3.7;
246;18.2;19.6;28.8;99.2;4.1;
247;18.2;19.4;28.8;99.2;3.5;
248;18.2;20.0;28.8;99.3;4.1;
249;18.3;19.5;28.8;99.3;3.5;
250;18.2;19.7;28.8;99.2;4.1;
251;18.2;19.8;28.8;99.3;3.5;
252;18.3;19.7;28.8;99.2;3.9;
253;18.2;19.5;28.8;99.2;3.7;
254;18.2;19.6;28.8;99.2;3.9;
255;18.3;19.8;28.8;99.2;3.5;
256;18.3;19.7;28.8;99.2;3.9;
257;18.2;19.8;28.8;99.2;3.7;
258;18.2;19.6;28.8;99.2;4.1;
259;18.3;19.7;28.8;99.2;3.7;
260;18.3;19.6;28.8;99.2;3.9;
261;18.3;20.0;28.8;99.2;3.5;
262;18.3;19.8;28.8;99.2;4.1;
263;18.2;19.6;28.8;99.2;3.5;
264;18.3;19.7;28.8;99.2;4.1;
